standardized,pEC50
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(O)C2=C(F)C=C(C#N)C=C2)=NN=C1C1=CN=CC(C)=C1,7.193820026
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(O)C2=NC=C(F)C=C2)=NN=C1C1=CN=CC(C)=C1,9.30980392
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)CC(O)C2=NC=C(F)C=C2)=NN=C1C1=CN=CC(C)=C1,9
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(O)C2=NC=C(F)C=C2)C=C1,9.060480747
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2=NC=C(F)C=C2)=NN=C1C1=CN=CC(C)=C1,9.494850022
COC(C1=C(F)C=C(Br)C=C1)C(C)S(N)(=O)=O,8.886056648
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2=C(F)C=C(C#N)C=C2)=NN=C1C1=CN=CC(C)=C1,9.337242168
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)CC(O)C2=C(F)C=C(F)C=C2)=NN=C1C1=CN=CC(C)=C1,8.958607315
COC1=C(N2C(NS(=O)(=O)CCC3=CC=C(Cl)C=C3)=NN=C2C2=CC=CC=N2)C(OC)=CC=C1,7.229147988
COC1=C(N2C(NS(=O)(=O)CCC3=CC=C(Cl)C=C3)=NN=C2C2=CN=CC=C2)C(OC)=CC=C1,7.795880017
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C2=NC=C(C)C=N2)=NN=C1C1=CN=CC(C)=C1,6.920818754
COC1=CC=C(CSC2=NN=C(C3=CN=CC(C)=C3)N2C2=C(OC)C=CC=C2OC)C=C1,6.508638306
COC1=CC=CC(OC)=C1N1C(NC(=O)C(C)CC2=CC=CC=C2)=NN=C1C1=CN=CC(C)=C1,6.387216143
CC1=CN=C(C(O)C(C)O)N=C1,9.408935393
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3CCC3)N2C2=C(OC)C=CC=C2OC)=N1,7.619788758
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)NC(C)C2=NC=C(F)C=N2)=NN=C1C1=CN=CC(C)=C1,7.318758763
C=CC1=CC(C2=NN=C(NS(=O)(=O)C(C)CC3=NC=C(F)C=N3)N2C2=C(OC)C=CC=C2OC)=CN=C1,7.958607315
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(O)C(C)(C)C)N2C2=C(OC)C=CC=C2OC)=N1,6.920818754
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(O)C3CC3)N2C2=C(OC)C=CC=C2OC)=N1,6.958607315
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(O)C3CCCCC3)N2C2=C(OC)C=CC=C2OC)=N1,7.886056648
COC1=C(C2=NN=C(NS(=O)(=O)C(C)C(C)C3=NC=C(F)C=N3)N2C2=CN(C)C3=CC=CC=C23)C=CC=N1,7.346787486
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1=CC=CC(C)=N1,9
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1=NC(Cl)=CC=C1,9.075720714
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1=CC=CC(C2=CC=CC=C2)=N1,8.30980392
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(F)C=N2)=NN=C1C1=CC=CC(C2=CC=CC=C2)=[N+]1O,8.031517051
